Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,Spanish,UI_Tester
SDI1_OUTCOME,Text,,"We have received reports of a variety of afflictions suffered by individuals who have traveled or reside in areas covered by the mist: tiredness, lack of energy, brain fog, anguish, and sometimes hallucinations.

So far we can conclude the following:

1) Symptoms never fully disappear, but are negligible when the subjects are fully rested, and progressively become worse as they exert themselves.
2) Symptoms get worse if the subject stays or returns to locations where mist is present.

We have termed this condition ""Oneiric Delirium"", on account of the subjects complaining of nightmares, or ""crazy dreams"", with similar themes of monstrous degeneration and smothering.

<color=#ec9006><b>Our operatives can now be afflicted with a Delirium status of up to a third of their Willpower</b></color>",,"Nous avons reçu des rapports faisant état de diverses affections subies par des personnes ayant voyagé ou résidant dans des zones couvertes par la brume : fatigue, manque d'énergie, brouillard cérébral, angoisse et parfois hallucinations.

Jusqu’à présent, nous pouvons conclure ce qui suit :

1) Les symptômes ne disparaissent jamais complètement, mais sont négligeables lorsque les sujets sont complètement reposés et s'aggravent progressivement au fur et à mesure de l'effort.
2) Les symptômes s'aggravent si le sujet reste ou retourne dans des endroits où la brume est présente.

Nous avons appelé cet état « Délire onirique », à cause des sujets se plaignant de cauchemars, ou de « rêves fous », avec des thèmes similaires de dégénérescence monstrueuse et d'étouffement.

<color=#ec9006><b>Nos agents peuvent désormais être affligés d'un statut de Délirium pouvant atteindre jusqu'à un tiers de leur volonté</b></color>",,,,,,
SDI_01_TITLE,Text,,The Third Mist,,La troisième Brume,,,,,,
SDI6_OUTCOME,Text,,"The Oneiric Delirium grows stronger.

<color=#e8bcf0><b>Our operatives can now be afflicted with a Delirium status of up to half of their Willpower</b></color>",,"Le délire onirique se renforce.

<color=#e8bcf0><b>Nos agents peuvent désormais être affligés d'un statut de Délirium jusqu'à la moitié de leur volonté</b></color>",,,,,,
SDI7_OUTCOME,Text,,<color=#e8bcf0><b>Havens in the Mist can become infested instead of destroyed when attacked by Pandorans. Infested havens accelerate Pandoran evolution.</b></color>,,<color=#e8bcf0><b>Les Refuges dans la Brume peuvent être infestés au lieu d'être détruits lorsqu'ils sont attaqués par des Pandoriens. Les refuges infestés accélèrent l'évolution Pandorienne.</b></color>,,,,,,
SDI09_OUTCOME,Text,,<color=#e8bcf0><b>The Umbra grow in strength</b></color>,,<color=#e8bcf0><b>L'Umbra gagne en force</b></color>,,,,,,
SDI10_OUTCOME,Text,,"The Oneiric Delirium grows stronger.

<color=#e8bcf0><b>Our operatives can now be afflicted with a Delirium status equal to their Willpower</b></color>",,"Le délire onirique se renforce.

<color=#e8bcf0><b>Nos agents peuvent désormais être affligés d'un statut de Délirium égal à leur Volonté</b></color>",,,,,,
SDI11_OUTCOME,Text,,<b> Berith are coming! </b>,,<b>Le Berith arrive ! </b>,,,,,,
KEY_VOID_OMEN_NEW,Text,,NEW:,,NOUVEAU:,,,,,,
KEY_VOID_OMEN_LUCKY_ROLL,Text,,"""Can you feel it? The weight lifting off your chest? These days we are lucky if we get any respite at all."" - Alistair Ashby",,"""Pouvez-vous le sentir ? Le poids qui s'enlève de votre poitrine ? Ces jours-ci, nous avons de la chance si nous obtenons un peu de répit."" -Alistair Ashby",,,,,,
KEY_VOID_OMEN_REMOVED_TEXT0,Text,,REMOVED:,,SUPPRIMÉ:,,,,,,
KEY_VOID_OMEN_REMOVED_TEXT1,Text,,passed over.,,passé.,,,,,,
KEY_VOID_OMEN_REMOVED0,Text,,You destroyed a Pandoran Colony!,,Vous avez détruit une colonie Pandorienne !,,,,,,
KEY_VOID_OMEN_REMOVED1,Text,,The odds are in your favor!,,Les chances sont en votre faveur !,,,,,,
KEY_VOID_OMEN_REMOVED2,Text,,replaced by new Void Omen.,,remplacé par un nouveau Présage du Néant.,,,,,,
KEY_ODPIA_TEXT,Text,,Oneiric Delirium Psychosocial Impact Assessment,,Évaluation de l'impact psychosocial du délirium onirique,,,,,,
KEY_EXCREPT,Text,,Excrept from,,Extrait de,,,,,,
KEY_EXECUTIVE_SUMMARY,Text,,Executive Summary,,Résumé exécutif,,,,,,
