Key,Type,Desc,English,Chinese (Simplified),French,German,Italian,Polish,Russian,,UI_Tester
PR_BC_TROUBLEMAKER_DESC,Text,,"<b>Hand Grenades deal +10% damage</b>
<i>You have a knack for irritating the authorities. Maybe that's why you are here? Think about it</i>",,"<b>Les grenades lancées à la main infligent +10 % de dégâts</b>
<i>Vous avez le don d’irriter les autorités. C'est peut-être pour ça que tu es ici ? Pensez-y</i>",,,,"<b>Гранаты наносят +10% урона</b>
<i>У вас талант раздражать власть имущих. Может поэтому вы оказались здесь? Подумайте об этом</i>",,
PR_BC_PARANOID,Text,,PARANOID,,PARANOÏAQUE,,,,ПАРАНОИК,,
PR_BC_PARANOID_DESC,Text,,"<b>Perception +4, Hearing Range +10</b>
<i>But you are not, because the monsters are real!</i>",,"<b>Perception +4, portée auditive +10</b>
<i>Mais ce n'est pas le cas, car les monstres sont réels !</i>",,,,"<b>Восприятие +4, слух +10</b>
<i>Но это не значит, что монстров не существует</i>",,
PR_BC_TRUE_GRIT,Text,,TRUE GRIT,,VRAI COURAGE,,,,КРЕПКИЙ ОРЕШЕК,,
PR_BC_TRUE_GRIT_DESC,Text,,"<b>-10% damage from adjacent enemies</b>
<i>The end of civilization wasn't kind to you, but when things get up close and personal, you just suck it up</i>",,"<b>-10 % des dégâts des ennemis adjacents</b>
<i>La fin de la civilisation n'a pas été tendre avec vous, mais quand les choses deviennent intimes et personnelles, vous vous contentez de vous laisser aller.</i>",,,,"<b>-10% урона в рукопашной</b>
<i>Конец цивилизации не был к вам добр и когда дела приобретают скверный оборот, вы к этому готовы</i>",,
PR_BC_HISTORY_OF_VIOLENCE,Text,,HISTORY OF VIOLENCE,,HISTOIRE DE VIOLENCE,,,,БУЙНОЕ ПРОШЛОЕ,,
PR_BC_HISTORY_OF_VIOLENCE_DESC,Text,,"<b>Damage +10%, Willpower -2</b>
<i>In the past, you hurt some people. They probably deserved it</i>",,"<b>Dégâts +10 %, Volonté -2</b>
<i>Dans le passé, vous avez blessé certaines personnes. Ils l'ont probablement mérité</i>",,,,"<b>Урон +10%, воля -2</b>
<i>В прошлой жизни вам приходилось убивать. Они это заслужили, наверное</i>",,
PR_BC_DAREDEVIL,Text,,DAREDEVIL,,CASSE-COU,,,,СОРВИГОЛОВА,,
PR_BC_DAREDEVIL_DESC,Text,,"<b>Damage +10%, Accuracy -10%</b>
<i>In the world you were born to, you have to live dangerously if at all. Strike first, strike hard, aim not</i>",,"<b>Dégâts +10 %, Précision -10 %</b>
<i>Dans le monde dans lequel vous êtes né, vous deviez vivre dangereusement, voire pas du tout. Frapper le premier, frapper fort, n'importe où.</i>",,,,"<b>Урон +10%, точность -10%</b>
<i>В мире, где вы родились, приходится всегда ходить по краю. Бей первым, бей сильно. Не думай</i>",,
PR_BC_DAMAGED_AMYGDALA,Text,,DAMAGED AMYGDALA,,AMYGDALE ENDOMMAGÉE,,,,ТРАВМИРОВАННЫЙ,,
PR_BC_DAMAGED_AMYGDALA_DESC,Text,,"<b>Gain 'Psychic Scream Immunity'</b>
<i>All brains are different, and yours couldn't take seeing your family return as sea monsters</i>",,"<b>Gagne «l'immunité aux cris psychiques»</b>
<i>Tous les cerveaux sont différents, et le vôtre ne supporte pas de voir votre famille revenir sous forme de monstres marins</i>",,,,"<b>Иммунитет к психическому крику</b>
<i>Все мозги устроены по разному и ваши просто не справились с видом родных вернувшихся с того света в виде монстров</i>",,
PR_BC_SANITATION_EXPERT,Text,,SANITATION EXPERT,,EXPERT EN ASSAINISSEMENT,,,,ДЕЗИНФЕКТОР,,
PR_BC_SANITATION_EXPERT_DESC,Text,,"<b>Immune to goo</b>
<i>Robots can't do everything. Grime, dirt, slime, ooze, yuck, sludge: you have been through it all and come on the other side</i>",,"<b>Immunisé contre la goo</b>
<i>Les robots ne peuvent pas tout faire. Crasse, saleté, bave, limon, beurk, boue : vous avez tout vécu et passez de l'autre côté</i>",,,,"<b>Иммунитет к слизи</b>
<i>Роботы не могут делать все. Грязь, слизь, сажа: вы знаете как удалить любой засор!</i>",,
PR_BC_LAB_ASSISTANT,Text,,LAB ASSISTANT,,LABORANTIN,,,,ЛАБОРАНТ,,
PR_BC_LAB_ASSISTANT_DESC,Text,,"<b>Acid Resistance</b>
<i>All those little accidents throughout the years have taught you a lot about safely dealing with acid spills</i>",,"<b>Résistance aux acides</b>
<i>Tous ces petits accidents au fil des années vous ont beaucoup appris sur la façon de gérer en toute sécurité les déversements d'acide</i>",,,,"<b>Защита от кислоты</b>
<i>Годы в лаборатории многому научили вас о мерах предосторожности при работе с кислотой</i>",,
PR_BC_ROCKETEER,Text,,ROCKETEER,,HOMME-FUSÉE,,,,РАКЕТЧИК,,
PR_BC_ROCKETEER_DESC,Text,,"<b>Jetpack Proficiency</b>
<i>Since you were a child you dreamt of flying rockets. Perhaps now you can!</i>",,"<b>Maîtrise du Jetpack</b>
<i>Depuis que vous êtes enfant, vous rêvez de faire voler des fusées. Peut-être que maintenant vous le pouvez !</i>",,,,"<b>Умеет использовать ракетный ранец </b>
<i>С самого детства вы мечтали летать. Может теперь получится!</i>",,
PR_BC_PRIVILEGED,Text,,PRIVILEGED,,PRIVILÉGIÉ,,,,МАЖОР,,
PR_BC_PRIVILEGED_DESC,Text,,"<b>Speed +2, Perception +4, Carry Weight -25%</b>
<i>You were riding out the Apocalypse in First Class and letting others carry your load for you. It didn't last, and the run for your life that followed gave you a new awareness.</i>",,"<b>Vitesse +2, Perception +4, Poids transporté -25 %</b>
<i>Vous traversiez l'Apocalypse en première classe et laissiez les autres porter votre fardeau à votre place. Cela n'a pas duré, et la course pour la vie qui a suivi vous a donné une nouvelle prise de conscience.</i>",,,,"<b>Скорость +2, Восприятие +4, Допустимый вес -25%</b>
<i>Вы улетали от апокалипсиса в первом классе, а прислуга таскала ваш багаж. Но роскошная жизнь длилась недолго и последующее бегство от монстров открыло в вас новые таланты</i>",,
PR_BC_FRENZY,Text,,FRENZY,,FRÉNÉSIE,,,,БУЙСТВО,,
PR_BC_FRENZY_DESC,Text,,"Instils Frenzy in friendly characters within 20 tiles for two turns, increasing their Speed by 33% and making them immune to panic",,"Insuffle la frénésie aux personnages amis dans un rayon de 20 cases pendant deux tours, augmentant leur vitesse de 33 % et les rendant immunisés contre la panique.",,,,"Союзники в радиусе 20 клеток впадают в Буйство на 2 хода, их скорость увеличивается на 33% и они получают иммунитет к панике",,
PR_BC_FRENZY_STATUS_DESC,Text,,Speed increased by 33% and immune to panic,,Vitesse augmentée de 33 % et immunisé contre la panique,,,,Скорость увеличена на 33% и иммунитет к панике,,
KEY_RETURNFIRE_DESCRIPTION,Text,,"Shoot back at an enemy when it attacks, provided the soldier is using a direct-fire projectile weapon with proficiency, and the enemy is within half perception range. Once per turn.",,"Tir de riposte sur un ennemi lorsque celui-ci attaque, à condition que le soldat utilise une arme à projectile à tir direct avec compétence et que l'ennemi se trouve à la moitié de la portée de perception. Une fois par tour.",,,,,,
KEY_TECHNICIAN_REMOTE_DEPLOYMENT_DESCRIPTION,Text,,Turrets can be thrown for 1 Action Point and 2 Will Points,,"Les tourelles peuvent être lancées pour 1 point d'action et 2 points de volonté.",,,,,,
KEY_ASSAULT_RIFLES_TALENT_DESCRIPTION,Text,,Proficiency with Assault Rifles,,"Maîtrise des Fusils d'assaut",,,,,,
KEY_GRENADES_TALENT_DESCRIPTION,Text,,Proficiency with Grenades,,"Maîtrise des Grenades",,,,,,
KEY_HANDGUNS_TALENT_DESCRIPTION,Text,,Proficiency with Handguns,,"Maîtrise des Pistolets",,,,,,
KEY_HEAVY_WEAPONS_TALENT_DESCRIPTION,Text,,Proficiency with Heavy Weapons,,"Maîtrise des Armes lourdes",,,,,,
KEY_MELEE_WEAPONS_TALENT_DESCRIPTION,Text,,Proficiency with Melee Weapons,,"Maîtrise des Armes de corps à corps",,,,,,
KEY_MOUNTED_WEAPONS_TALENT_DESCRIPTION,Text,,Proficiency with Mounted Weapons,,"Maîtrise des Armes greffées",,,,,,
KEY_PDWS_TALENT_DESCRIPTION,Text,,Proficiency with PDWs,,"Maîtrise des Pistolets-mitrailleurs",,,,,,
KEY_SHOTGUNS_TALENT_DESCRIPTION,Text,,Proficiency with Shotguns,,"Maîtrise des Fusils à pompe",,,,,,
KEY_SILENCED_WEAPONS_TALENT_DESCRIPTION,Text,,Proficiency with Silenced Weapons,,"Maîtrise des Armes furtives",,,,,,
KEY_SNIPERS_RIFLES_TALENT_DESCRIPTION,Text,,Proficiency with Sniper Rifles,,"Maîtrise des Armes de Sniper",,,,,,
